NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
03167,"BABYFOOD,APPLE-BANANA JUC",87.1,51,0.2,0.1,0.26,12.3,0.2,11,7,0.2,6,8,123,4,0.04,0.02,0.08,0.3,27.9,0.01,0.01,0.14,0.125,0.06,1,0,1,1,2.3,0,9,0,0,3,4,0,0,16,0.02,0,0,0,0.018,0.004,0.034,0
03168,"BABYFOOD,JUC,APPL&PEACH",89,43,0.2,0.1,0.3,10.5,0.1,9.59,3,0.56,3,4,97,0,0.03,0.037,,0.3,58.5,0.008,0.011,0.213,0.082,0.022,1,0,1,1,2.5,0,63,3,0,0,31,13,0,29,0.15,0,0,0.5,0.018,0.002,0.031,0
03169,"BABYFOOD,APPLE-CRANBERRY JUC",88.3,46,0,0.02,0.19,11.49,0,6.88,6,0.22,3,7,97,5,0.05,0.01,0.16,0.1,27.9,0,0.02,0.07,,0.03,0,0,0,0,3.4,0,28,1,0,0,17,0,0,49,0.56,0,0,2.4,0.007,0.001,0.012,0
03170,"BABYFOOD,JUC,APPL&PLUM",87.3,49,0.1,0,0.3,12.3,0.1,11.54,5,0.62,3,3,101,0,0.03,0.042,,0.3,58.2,0.02,0.017,0.195,0.123,0.028,0,0,0,0,1.6,0,43,2,0,0,24,5,0,21,0.04,0,0,0.8,0,0,0,0
03171,"BABYFOOD,JUC,APPL&PRUNE",81.3,72,0.2,0.1,0.3,18.1,0.1,10.58,9,0.95,7,15,148,8,0.05,0.062,,0.3,67.5,0.005,0.002,0.301,0.181,0.035,0,0,0,0,1.8,0,16,1,0,1,8,2,0,22,0.05,0,0,1.3,0.018,0.006,0.031,0
03172,"BABYFOOD,JUICE,ORANGE",88.5,45,0.6,0.3,0.4,10.2,0.1,8.26,12,0.17,9,11,184,0,0.06,0.046,,0.1,62.5,0.045,0.028,0.239,0.137,0.054,26,0,26,26,6.2,0,55,3,0,2,9,47,0,113,0.04,0,0,0.1,0.035,0.05,0.06,0
03173,"BABYFOOD,JUC,ORANGE&APPL",88.9,43,0.4,0.2,0.4,10.1,,,10,0.2,5,7,138,3,0.03,0.04,,0.1,76.9,0.038,0.028,0.185,0.12,0.038,12,0,12,12,,0,73,4,0,,,,,,,,,,,,,
03174,"BABYFOOD,JUC,ORANGE&APPL&BANANA",87.6,47,0.4,0.1,0.4,11.5,0.1,10.03,5,0.35,6,8,134,0,0.03,0.044,,0.1,32.1,0.043,0.027,0.263,0.134,0.062,10,0,10,10,4.1,0,27,1,0,1,5,22,0,59,0.02,0,0,0.1,0.016,0.007,0.027,0
03175,"BABYFOOD,JUC,ORANGE&APRICOT",87.8,46,0.8,0.1,0.4,10.9,0.1,,6,0.38,7,12,199,6,0.04,0.084,,0.1,85.9,0.058,0.028,0.267,0.096,0.056,20,0,20,20,,0,216,11,0,,,,,,0.6,,,,0.011,0.022,0.02,0
03176,"BABYFOOD,JUC,ORANGE&BANANA",86.9,50,0.7,0.1,0.4,11.9,,,17,0.11,14,13,200,3,0.09,0.042,,0.1,34,0.051,0.042,0.18,0.148,0.054,24,0,24,24,,0,46,2,0,,,,,,,,,,,,,
